======================================================================
  FLIP-DISTRIBUTION SWEEP: 100 seeds x 8 coin-flip trials = 800 games (rust/rayon)
  (seeds 0-99, go-off p>=0.95)
  seed 58   win 100% over 8 flips   median  8.5  (best 7, worst 11)
  seed 59   win 100% over 8 flips   median  5.5  (best 4, worst 7)
  seed 60   win 100% over 8 flips   median  9.0  (best 8, worst 10)
  seed 61   win 100% over 8 flips   median  7.0  (best 7, worst 7)
  seed 62   win 100% over 8 flips   median  7.0  (best 7, worst 7)
  seed 63   win 100% over 8 flips   median  6.5  (best 6, worst 7)
  seed 64   win 100% over 8 flips   median  8.0  (best 7, worst 8)
  seed 65   win 100% over 8 flips   median  7.5  (best 5, worst 9)
  seed 66   win 100% over 8 flips   median  8.0  (best 7, worst 9)
  seed 67   win 100% over 8 flips   median  7.0  (best 5, worst 8)
  seed 68   win 100% over 8 flips   median  5.0  (best 5, worst 5)
  seed 69   win 100% over 8 flips   median  9.0  (best 9, worst 11)
  seed 70   win 100% over 8 flips   median  7.5  (best 6, worst 10)
  seed 71   win 100% over 8 flips   median  6.0  (best 6, worst 7)
  seed 72   win 100% over 8 flips   median  7.0  (best 6, worst 7)
  seed 73   win 100% over 8 flips   median  7.0  (best 6, worst 12)
  seed 74   win 100% over 8 flips   median  4.5  (best 4, worst 5)
  seed 75   win 100% over 8 flips   median 12.0  (best 12, worst 14)
  seed 76   win 100% over 8 flips   median  8.5  (best 7, worst 10)
  seed 77   win 100% over 8 flips   median  4.5  (best 3, worst 5)
  seed 78   win 100% over 8 flips   median  6.0  (best 5, worst 6)
  seed 79   win 100% over 8 flips   median  9.0  (best 9, worst 10)
  seed 80   win  88% over 8 flips   median  6.0  (best 6, worst 10)
  seed 81   win 100% over 8 flips   median  6.0  (best 5, worst 7)
  seed 82   win 100% over 8 flips   median  5.0  (best 5, worst 5)
  seed 83   win 100% over 8 flips   median  7.5  (best 7, worst 9)
  seed 84   win 100% over 8 flips   median  6.0  (best 6, worst 6)
  seed 85   win 100% over 8 flips   median  8.0  (best 6, worst 8)
  seed 86   win 100% over 8 flips   median  9.0  (best 8, worst 9)
  seed 87   win 100% over 8 flips   median  6.0  (best 6, worst 6)
  seed 88   win 100% over 8 flips   median  8.0  (best 7, worst 9)
  seed 89   win 100% over 8 flips   median  5.0  (best 5, worst 13)
  seed 90   win 100% over 8 flips   median 11.0  (best 8, worst 13)
  seed 91   win 100% over 8 flips   median  6.5  (best 6, worst 12)
  seed 92   win 100% over 8 flips   median  7.0  (best 7, worst 8)
  seed 93   win 100% over 8 flips   median  8.0  (best 8, worst 9)
  seed 94   win 100% over 8 flips   median  7.5  (best 7, worst 8)
  seed 95   win 100% over 8 flips   median  5.5  (best 4, worst 8)
  seed 96   win 100% over 8 flips   median  6.0  (best 6, worst 7)
  seed 97   win 100% over 8 flips   median  9.0  (best 8, worst 10)
  seed 98   win 100% over 8 flips   median 10.0  (best 9, worst 10)
  seed 99   win 100% over 8 flips   median  7.0  (best 7, worst 8)
  ------------------------------------------------------------------
  mean per-seed P(win) 99.9%   overall 799/800 (100%) winning trials
  win-turn over all winning trials: mean 7.88  median 7  best 2  worst 16
  P10 5  P25 6  P50 7  P75 9  P90 12
  50.5s total, 0.063s/game
